section,item,metric,value
null_summary,MainLevelBedrooms,null_count,242645
null_summary,MainLevelBedrooms,null_percent,46.67
null_summary,NewConstructionYN,null_count,61848
null_summary,NewConstructionYN,null_percent,11.9
null_summary,GarageSpaces,null_count,66669
null_summary,GarageSpaces,null_percent,12.82
null_summary,HighSchoolDistrict,null_count,174307
null_summary,HighSchoolDistrict,null_percent,33.52
null_summary,PostalCode,null_count,129
null_summary,PostalCode,null_percent,0.02
null_summary,AssociationFee,null_count,159700
null_summary,AssociationFee,null_percent,30.72
null_summary,LotSizeSquareFeet,null_count,46852
null_summary,LotSizeSquareFeet,null_percent,9.01
null_summary,MiddleOrJuniorSchoolDistrict,null_count,519932
null_summary,MiddleOrJuniorSchoolDistrict,null_percent,100.0
null_summary,OriginatingSystemName,null_count,435313
null_summary,OriginatingSystemName,null_percent,83.72
null_summary,OriginatingSystemSubName,null_count,435313
null_summary,OriginatingSystemSubName,null_percent,83.72
null_summary,BuyerAgencyCompensationType,null_count,452185
null_summary,BuyerAgencyCompensationType,null_percent,86.97
null_summary,BuyerAgencyCompensation,null_count,452152
null_summary,BuyerAgencyCompensation,null_percent,86.96
missing_value_report,WaterfrontYN,above_90_percent_null,99.95
missing_value_report,BasementYN,above_90_percent_null,98.36
missing_value_report,FireplacesTotal,above_90_percent_null,100.0
missing_value_report,AboveGradeFinishedArea,above_90_percent_null,100.0
missing_value_report,TaxAnnualAmount,above_90_percent_null,99.59
missing_value_report,BuilderName,above_90_percent_null,96.15
missing_value_report,TaxYear,above_90_percent_null,99.94
missing_value_report,ElementarySchoolDistrict,above_90_percent_null,100.0
missing_value_report,CoBuyerAgentFirstName,above_90_percent_null,91.85
missing_value_report,BelowGradeFinishedArea,above_90_percent_null,99.55
missing_value_report,BusinessType,above_90_percent_null,99.73
missing_value_report,CoveredSpaces,above_90_percent_null,100.0
missing_value_report,LotSizeDimensions,above_90_percent_null,94.74
missing_value_report,MiddleOrJuniorSchoolDistrict,above_90_percent_null,100.0
numeric_distribution,ClosePrice,min,0.0
numeric_distribution,ClosePrice,max,989500000.0
numeric_distribution,ClosePrice,mean,883516.9099460501
numeric_distribution,ClosePrice,median,629877.5
numeric_distribution,ClosePrice,p10,3495.0
numeric_distribution,ClosePrice,p25,59968.75
numeric_distribution,ClosePrice,p50,629877.5
numeric_distribution,ClosePrice,p75,1065000.0
numeric_distribution,ClosePrice,p90,1775000.0
numeric_distribution,LivingArea,min,0.0
numeric_distribution,LivingArea,max,909090909.0
numeric_distribution,LivingArea,mean,3726.1927413089056
numeric_distribution,LivingArea,median,1578.0
numeric_distribution,LivingArea,p10,892.0
numeric_distribution,LivingArea,p25,1181.0
numeric_distribution,LivingArea,p50,1578.0
numeric_distribution,LivingArea,p75,2149.0
numeric_distribution,LivingArea,p90,2917.0
numeric_distribution,DaysOnMarket,min,-288.0
numeric_distribution,DaysOnMarket,max,5219.0
numeric_distribution,DaysOnMarket,mean,44.24923259195433
numeric_distribution,DaysOnMarket,median,23.0
numeric_distribution,DaysOnMarket,p10,4.0
numeric_distribution,DaysOnMarket,p25,9.0
numeric_distribution,DaysOnMarket,p50,23.0
numeric_distribution,DaysOnMarket,p75,55.0
numeric_distribution,DaysOnMarket,p90,106.0
